"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Sep 08",,"11482.08","3828.70","201.81","53.91","2343.14",,"10111.15","2221.20","1384.08",,"4193.21","610.61",,"3582.60","1322.88","2259.72",,,"2259.72","634.88","48401.19",,,"59.41","12.14",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Jun 08",,"10013.99","3507.94","207.07","70.20","2403.87",,"8981.54","2130.95","1128.24",,"3962.34","1549.47",,"2412.87","772.08","1640.79",,,"1640.79","634.88","48401.19",,,"59.41","12.99",,,,,,,,,,,,,,,"25.77","40.59",,,,,,,,,
"Mar 08",,"9603.47","3211.76","218.80","542.70","2817.20",,"8776.14","1569.60","1675.06",,"4373.13","1619.14",,"2753.99","870.74","1883.25",,,"1883.25","631.47","48401.19",,,"59.73","13.47",,,,,,,,,,,,,,,"25.43","40.27",,,,,,,,,
"Dec 07",,"9271.05","3271.11","92.61","32.04","2697.19",,"8410.45","2194.68","1099.13",,"3659.74","804.43",,"2855.31","1046.67","1808.64",,,"1808.64","526.30","30772.26",,,"59.73","12.28",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Sep 07",,"8365.07","2862.96","386.61","1.64","2041.94",,"7853.36","1995.22","1096.42",,"2713.22","85.71",,"2627.51","1016.09","1611.42",,,"1611.42","526.30","30503.66",,,"59.73","12.85",,,,,,,,,,,,,,,"2.12","40.27",,,,,,,,,
"Jun 07",,"7988.52","2894.36","497.06","6.57","842.58",,"6889.12","2026.37","952.14",,"2361.46","159.37",,"2202.09","776.28","1425.81",,,"1425.81","526.30","30503.66",,,"59.73","13.13",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Mar 07",,"7056.56","2845.26","1627.03","12.61","2894.30",,"7221.33","2023.88","1222.14",,"3968.41","1412.59",,"2555.82","1062.63","1493.19",,,"1493.19","526.30","30503.66",,,,"12.34",,,,,,,,,,,,,,,"31.43","59.73",,,,,,,,,
"Dec 06",,"6413.55","2833.12","352.48","136.79","1811.03",,"5784.61","2029.71","877.69",,"2854.96","1166.19",,"1688.77","623.71","1065.06",,,"1065.06","526.30","27117.79",,,,"11.86",,,,,,,,,,,,,,,"21.20","11.86",,,,,,,,,
"Sep 06",,"5901.71","2874.40","395.98","205.38","1433.76",,"5478.82","1954.71","905.13",,"2472.57","681.34",,"1791.23","606.74","1184.49",,,"1184.49","526.30","27117.79",,,,"12.63",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Jun 06",,"5467.35","2940.21","344.12","84.47","1762.60",,"4952.06","1924.29","885.95",,"2836.45","1281.97",,"1554.48","755.91","798.57",,,"798.57","526.30","27117.79",,,,"11.97",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Mar 06",,"4758.73","3316.37","281.25","2677.02","152.73",,"4954.51","1924.17","1030.25",,"3277.17","1339.14",,"1938.03","1084.74","853.29",,,"853.29","526.30","27117.79",,,,"11.88",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Dec 05",,"4667.94","3289.09","490.07","1111.05","1840.47",,"5338.27","2524.12","936.58",,"2599.65","469.81",,"2129.84","1014.65","1115.19",,,"1115.19","526.30","23545.84",,,,"12.49",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Sep 05",,"4305.55","3611.09","474.40","170.37","1294.63",,"4953.46","2041.18","878.48",,"1982.92","817.54",,"1165.38","-49.98","1215.36",,,"1215.36","526.30","23545.84",,,,"11.30",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Jun 05",,"3964.08","3760.98","515.25","925.98","1576.56",,"4913.05","1633.57","756.75",,"3439.48","1766.58",,"1672.90","450.07","1222.83",,,"1222.83","526.30","23545.84",,,,"11.63",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Mar 05",,"3467.49","4228.42","407.40","544.20","1690.65",,"4696.86","1849.43","867.79",,"2924.08","1672.17",,"1251.91","187.03","1064.88",,,"1064.88","526.30","23545.84",,,,"12.45",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
"Dec 04",,"3442.42","3645.24","420.11","521.30","2238.00",,"4368.99","1690.07","818.04",,"3389.97","1710.54",,"1679.43","580.08","1099.35",,,"1099.35","526.30","19704.98",,,,"12.66",,,,,,,,,,,,,,,"31.43","59.73",,,,,,,,,
"Sep 04",,"3146.38","4164.08","445.99","328.39","1652.59",,"4705.03","1657.42","770.05",,"2604.93","757.39",,"1847.54","765.65","1081.89",,,"1081.89","526.30","19704.98",,,,"13.07",,,,,,,,,,,,,,,"21.20","40.27",,,,,,,,,
