"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 07",,"319.57","102.24","11.32","0.47","87.47",,"228.88","77.18","119.07",,"95.94","50.40",,"45.54","8.28","37.26",,,"37.26","326.16",,,,,"13.46",,,,,,,,,,,,,,,"14.49","44.41",,,,,,,,,
"Dec 06",,"266.26","79.80","10.74","0.31","95.43",,"185.82","74.25","83.15",,"109.31","40.04",,"69.27","23.87","45.40",,,"45.40","325.93",,,,,"11.59",,,,,,,,,,,,,,,"14.47","44.40",,,,,,,,,
"Sep 06",,"229.85","57.41","7.62","0.28","62.47",,"153.90","60.18","74.85",,"68.71","17.43",,"51.28","16.48","34.80",,,"34.80","325.05",,,,,"12.38",,,,,,,,,,,,,,,"14.38","44.23",,,,,,,,,
"Jun 06",,"188.05","50.44","3.44","0.30","64.29",,"130.83","58.09","65.75",,"51.86","14.70",,"37.16","13.25","23.91",,,"23.91","324.73",,,,,"14.66",,,,,,,,,,,,,,,"14.38","44.27",,,,,,,,,
"Mar 06",,"158.21","51.92","6.24","0.59","76.48",,"100.09","54.38","76.91",,"62.06","10.68",,"51.39","16.66","34.73",,,"34.73","309.29",,,,,"11.27",,,,,,,,,,,,,,,"12.82","41.45",,,,,,,,,
"Dec 05",,"142.48","38.38","1.16","0.18","48.73",,"90.88","37.77","56.64",,"45.63","1.49",,"44.14","11.50","32.64",,,"32.64","309.09",,,,,"11.05",,,,,,,,,,,,,,,"12.80","41.42",,,,,,,,,
"Sep 05",,"126.06","34.60","2.07","0.06","73.06",,"76.65","35.31","56.20",,"67.69","20.36",,"47.34","16.16","31.18",,,"31.18","308.36",,,,,"11.16",,,,,,,,,,,,,,,"12.72","41.27",,,,,,,,,
"Jun 05",,"112.30","27.28","1.06","0.06","36.03",,"71.41","25.38","44.77",,"35.18","4.45",,"30.73","11.05","19.68",,,"19.68","123.32",,,,,"12.52",,,,,,,,,,,,,,,"5.09","41.25",,,,,,,,,
"Mar 05",,"100.05","20.98","1.75","0.01","48.69",,"55.53","28.27","48.31",,"39.37","7.40",,"31.98","8.90","23.08",,,"23.08","123.32","627.55",,,,"12.80",,,,,,,,,,,,,,,"5.09","41.25",,,,,,,,,
"Dec 04",,"81.92","28.14","2.65","0.26","30.35",,"55.42","18.16","40.85",,"28.88","2.38",,"26.50","7.40","19.10",,,"19.10","119.95",,,,,"13.73",,,,,,,,,,,,,,,"4.75","39.59",,,,,,,,,
"Sep 04",,"72.85","22.36","2.19","0.12","25.64",,"42.78","16.28","31.89",,"32.21","2.86",,"29.35","8.70","20.65",,,"20.65","119.79",,,,,"12.95",,,,,,,,,,,,,,,"4.72","39.42",,,,,,,,,
"Jun 04",,"65.05","19.46","2.21","0.30","28.47",,"41.09","14.93","26.89",,"32.59","2.03",,"30.56","8.50","22.06",,,"22.06","59.53",,,,,"14.69",,,,,,,,,,,,,,,"2.32","39.05",,,,,,,,,
