,KOTAKBANK.NS.Close,,SBIN.NS.Close,,AXISBANK.NS.Adjusted,,HDFCBANK.NS.Close
07/04/2010,196.912994,08/04/2010,209.589996,2010-04-08,164.268478,08/04/2010,380.559998
08/04/2010,196.524994,09/04/2010,210.610001,2010-04-09,168.06012,09/04/2010,389.869995
09/04/2010,196.488007,12/04/2010,209.199997,2010-04-12,167.129944,12/04/2010,390.839996
12/04/2010,191.438004,13/04/2010,209.395004,2010-04-13,164.389191,13/04/2010,390.339996
13/04/2010,191.988007,15/04/2010,205.404999,2010-04-15,163.068512,15/04/2010,391.410004
15/04/2010,186.261993,16/04/2010,204.770004,2010-04-16,163.082687,16/04/2010,392.850006
16/04/2010,181.25,19/04/2010,203.244995,2010-04-19,164.630615,19/04/2010,386.820007
19/04/2010,181.188004,20/04/2010,209.835007,2010-04-20,168.564224,20/04/2010,388.910004
20/04/2010,182.824997,21/04/2010,210.580002,2010-04-21,175.721481,21/04/2010,388.200012
21/04/2010,185.649994,22/04/2010,222.309998,2010-04-22,173.953491,22/04/2010,386.829987
22/04/2010,185.537994,23/04/2010,226.059998,2010-04-23,175.508469,23/04/2010,390.359985
23/04/2010,186.475006,26/04/2010,225.154999,2010-04-26,181.714264,26/04/2010,397.920013
26/04/2010,189.087006,27/04/2010,221.779999,2010-04-27,181.281113,27/04/2010,395.910004
27/04/2010,188.024994,28/04/2010,223.220001,2010-04-28,178.093033,28/04/2010,393.630005
28/04/2010,184.050003,29/04/2010,227.399994,2010-04-29,180.933212,29/04/2010,397.149994
29/04/2010,182.199997,30/04/2010,230.070007,2010-04-30,180.350967,30/04/2010,400.089996
30/04/2010,184.636993,03/05/2010,229.714996,2010-05-03,179.001877,03/05/2010,393.959991
03/05/2010,184.636993,04/05/2010,228.009995,2010-05-04,177.432693,04/05/2010,387.399994
04/05/2010,183.074997,05/05/2010,227.619995,2010-05-05,176.275299,05/05/2010,383.269989
05/05/2010,186.613007,06/05/2010,231.160004,2010-05-06,175.231552,06/05/2010,379.100006
06/05/2010,187.475006,07/05/2010,222.615005,2010-05-07,169.153564,07/05/2010,369.609985
07/05/2010,178.087006,10/05/2010,230.785004,2010-05-10,177.432693,10/05/2010,386.839996
10/05/2010,190.225006,11/05/2010,228.785004,2010-05-11,178.838577,11/05/2010,389.660004
11/05/2010,186.587006,12/05/2010,232.419998,2010-05-12,183.176941,12/05/2010,394.980011
12/05/2010,192.125,13/05/2010,231.774994,2010-05-13,186.251404,13/05/2010,393.070007
13/05/2010,194.162994,14/05/2010,222.425003,2010-05-14,184.007675,14/05/2010,390.350006
14/05/2010,189.524994,17/05/2010,225.074997,2010-05-17,179.243301,17/05/2010,385.769989
17/05/2010,196.125,18/05/2010,228,2010-05-18,178.178238,18/05/2010,379.160004
18/05/2010,195.850006,19/05/2010,221.414993,2010-05-19,171.127472,19/05/2010,373.709991
19/05/2010,185.949997,20/05/2010,226.75,2010-05-20,180.527878,20/05/2010,370.190002
20/05/2010,187.386993,21/05/2010,227.119995,2010-05-21,181.678665,21/05/2010,365.309998
21/05/2010,185.061996,24/05/2010,223.119995,2010-05-24,179.09317,24/05/2010,364.910004
24/05/2010,185.125,25/05/2010,215.509995,2010-05-25,173.944626,25/05/2010,360.75
25/05/2010,181.350006,26/05/2010,217.360001,2010-05-26,172.898483,26/05/2010,365.549988
26/05/2010,185.850006,27/05/2010,221.940002,2010-05-27,181.70108,27/05/2010,379.320007
27/05/2010,188.925003,28/05/2010,223.940002,2010-05-28,183.128311,28/05/2010,379.359985
28/05/2010,189.850006,31/05/2010,226.880005,2010-05-31,184.174484,31/05/2010,377.690002
31/05/2010,189.636993,01/06/2010,220.964996,2010-06-01,176.604828,01/06/2010,371.019989
01/06/2010,188.899994,02/06/2010,225.824997,2010-06-02,179.511642,02/06/2010,370.609985
02/06/2010,188.587006,03/06/2010,228.729996,2010-06-03,185.661484,03/06/2010,381.119995
03/06/2010,189.886993,04/06/2010,234.074997,2010-06-04,186.132248,04/06/2010,377.140015
04/06/2010,188.037994,07/06/2010,228.675003,2010-06-07,181.55162,07/06/2010,375.329987
07/06/2010,188.600006,08/06/2010,228.380005,2010-06-08,183.255356,08/06/2010,372.540009
08/06/2010,184.975006,09/06/2010,227.25,2010-06-09,185.265457,09/06/2010,376.179993
09/06/2010,184.725006,10/06/2010,232.684998,2010-06-10,186.513367,10/06/2010,383.230011
10/06/2010,186.024994,11/06/2010,233.990005,2010-06-11,186.184555,11/06/2010,389.26001
11/06/2010,189.837006,14/06/2010,234.5,2010-06-14,187.783676,14/06/2010,394.630005
14/06/2010,192.5,15/06/2010,236.419998,2010-06-15,186.102386,15/06/2010,392.779999
15/06/2010,192.662994,16/06/2010,236.169998,2010-06-16,182.418427,16/06/2010,395.209991
16/06/2010,191.188004,17/06/2010,235.085007,2010-06-17,181.581528,17/06/2010,399.220001
