"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Jun 13",,"7324.74","2217.82","110.27","10.13","1925.60",,"5244.26","1109.08","1929.11",,"3306.11","527.12",,"2778.99","935.13","1843.86",,,"1843.86","477.75",,,,,,"16.00",,"7.70","7.70",,"7.70","7.70",,"2719.03","689.04","1.00","0.30","0.50",,"143.89","60.30",,,,,,,"54.32","100.00","22.70"
"Mar 13",,"7086.53","2095.85","77.80","63.73","1803.63",,"5028.65","1005.33","2130.84",,"2962.72","300.54",,"2662.18","772.34","1889.84",,,"1889.84","475.88",,,,,,"16.80",,"8.00","7.90",,"8.00","7.90",,"2334.64","468.95","0.97","0.20","0.50",,"142.98","60.10",,,,,,,"54.32","100.00","22.80"
"Dec 12",,"6721.67","1892.96","67.73","25.26","1798.89",,"4908.77","1003.93","1570.18",,"3023.63","307.24",,"2716.39","857.32","1859.07",,,"1859.07","473.61",,,,,,"17.00",,"7.90","7.80",,"7.90","7.80",,"2432.21","495.80","1.00","0.20","0.50",,"141.87","59.90",,,,,,,"54.32","100.00","22.90"
"Sep 12",,"6449.41","1952.77","84.99","37.48","1345.12",,"4792.96","962.93","1542.57",,"2571.31","292.89",,"2278.42","718.44","1559.98",,,"1559.98","472.34",,,,,,"17.00",,"6.60","6.50",,"6.60","6.50",,"2133.44","386.86","0.91","0.20","0.40",,"141.23","59.80",,,,,,,"54.32","100.00","23.00"
"Jun 12",,"6063.51","1878.68","51.11","14.12","1529.49",,"4523.37","993.19","1439.41",,"2580.94","487.31",,"2093.63","676.24","1417.39",,,"1417.39","471.18",,,,,"15.50",,,"6.00","6.00",,"6.00","6.00",,"2086.32","396.02","0.97","0.20","0.40",,"140.69","59.70",,,,,,,"54.32","100.00","23.10"
"Mar 12",,"5610.13","1728.13","44.77","5.01","1491.98",,"3999.73","928.40","1538.68",,"2413.21","298.30",,"2114.91","661.83","1453.08",,,"1453.08","469.34",,,,,,"16.50",,"6.20","6.10",,"6.20","6.10",,"1999.39","352.33","1.02","0.20","0.50",,"139.78","59.60",,,,,,,"54.32","100.00","23.10"
"Dec 11",,"5417.49","1747.57","34.59","2.99","1420.00",,"4086.65","867.42","1290.54",,"2378.03","329.24",,"2048.79","619.13","1429.66",,,"1429.66","468.26",,,,,,"16.30",,"6.10","6.10",,"6.10","6.10",,"2020.58","397.96","1.03","0.20","0.50",,"139.24","59.50",,,,,,,"54.32","100.00","23.20"
"Sep 11",,"4994.79","1618.19","32.94","71.78","1211.68",,"3773.19","823.10","1207.29",,"2125.80","366.05",,"1759.75","560.40","1199.35",,,"1199.35","467.66",,,,,,"16.50",,"5.10","5.10",,"5.10","5.10",,"1894.94","355.25","1.00","0.20","0.40",,"138.94","59.40",,,,,,,"54.32","100.00","23.20"
"Jun 11",,"4514.19","1410.70","24.84","28.24","1120.03",,"3130.01","780.99","1153.64",,"2033.36","443.66",,"1589.70","504.72","1084.98",,,"1084.98","466.77",,,,,,"16.90",,"4.70","4.60",,"4.70","4.60",,"1833.13","318.50","1.04","0.20","0.40",,"138.50","59.30",,,,,,,"54.32","100.00","23.30"
"Mar 11",,"4150.93","1296.58","18.64","2.40","1255.76",,"2629.08","733.35","1265.02",,"2096.86","431.34",,"1665.52","550.81","1114.71",,,"1114.71","465.23",,,,,,"16.20",,"24.00","23.70",,"24.00","23.70",,"1694.34","296.41","1.05","0.20","0.40",,"27.54","59.20",,,,,,,"10.86","100.00","23.40"
"Dec 10",,"3950.38","1225.83","51.71","2.04","1127.82",,"2453.27","725.05","1106.77",,"2072.69","465.87",,"1606.82","518.99","1087.83",,,"1087.83","464.33",,,,,,"16.30",,"23.50","23.10",,"23.50","23.10",,"1781.76","330.67","1.11","0.20","0.40",,"27.46","59.10",,,,,,,"10.86","100.00","23.40"
"Sep 10",,"3673.18","1100.25","35.46","1.10","960.71",,"2283.72","710.57","969.31",,"1807.10","454.48",,"1352.62","440.48","912.14",,,"912.14","462.60",,,,,,"17.00",,"4.70","4.60",,"4.70","4.60",,"1841.21","1841.21","1.16","0.30","0.40",,"136.42","59.00",,,,,,,"54.32","100.00","23.50"
"Jun 10",,"3310.52","1053.22","42.27","14.14","939.88",,"2019.01","667.07","925.24",,"1748.71","555.02",,"1193.69","381.98","811.71",,,"811.71","459.69",,,,,"16.30",,,,,,,,,,,,,,,"35.10","76.40",,,,,,,,,
"Mar 10",,"3031.39","1008.11","12.31","1.30","903.55",,"1701.75","597.16","963.38",,"1694.37","439.91",,"1254.46","417.84","836.62",,,"836.62","457.74",,,,,"17.40",,,,,,,,,,,,,,,"34.91","76.30",,,,,,,,,
"Dec 09",,"3038.92","980.16","12.01","3.72","899.08",,"1810.90","578.59","920.70",,"1623.70","447.72",,"1175.98","357.48","818.50",,,"818.50","455.24",,,,,,"18.30",,"18.70","18.40",,"18.70","18.40",,"1974.11","544.01","1.63","0.50","0.40",,"26.60","58.40",,,,,,,"10.86","100.00","23.90"
"Sep 09",,"3010.22","959.58","21.13","0.96","1007.40",,"2036.13","554.09","816.07",,"1593.00","594.14",,"998.86","311.40","687.46",,,"687.46","427.36",,,,,,"15.70",,"16.10","15.90",,"16.10","15.90",,"2026.88","602.43","1.76","0.50","0.40",,"34.49","80.70",,,,,,,"8.24","100.00","19.30"
"Jun 09",,"3017.75","1033.44","35.51","6.40","1043.65",,"2237.52","559.34","821.24",,"1518.65","658.82",,"859.83","253.72","606.11",,,"606.11","426.18",,,,,"15.40",,,,,,,,,,,,,,,"34.37","80.70",,,,,,,,,
"Mar 09",,"3097.17","1126.39","26.49","0.78","1114.69",,"2398.83","503.85","892.32",,"1570.52","657.41",,"913.11","282.23","630.88",,,"630.88","425.38",,,,,"15.10",,,,,,,,,,,,,,,"34.29","80.60",,,,,,,,,
"Dec 08",,"3337.96","1028.21","100.52","1.81","939.39",,"2489.25","582.14","878.42",,"1458.08","531.79",,"926.29","304.55","621.74",,,"621.74","425.14",,,,,"13.70",,,,,,,,,,,,,,,"34.27","80.60",,,,,,,,,
"Sep 08",,"3061.42","896.65","32.99","0.15","643.11",,"2124.76","611.63","775.08",,"1122.85","346.03",,"776.82","248.84","527.98",,,"527.98","425.03",,,,,"11.40",,,,,,,,,,,,,,,"34.26","80.60",,,,,,,,,
"Jun 08",,"2636.38","951.21","24.26","9.88","593.42",,"1898.26","540.58","748.80",,"1027.51","344.47",,"683.04","218.69","464.35",,,"464.35","424.62",,,,,"12.20",,,,,,,,,,,,,,,"34.22","80.60",,,,,,,,,
"Mar 08",,"2008.94","877.63","69.49","0.12","549.34",,"1314.08","345.60","757.14",,"1088.70","465.14",,"623.56","152.45","471.11",,,"471.11","354.43",,,,,"13.60",,,,,,,,,,,,,,,"27.20","76.70",,,,,,,,,
"Dec 07",,"1867.25","770.19","88.06","1.40","678.89",,"1289.32","352.83","697.29",,"1066.35","423.13",,"643.22","213.86","429.36",,,"429.36","354.08",,,,,"13.80",,,,,,,,,,,,,,,"27.16","76.70",,,,,,,,,
"Sep 07",,"1636.92","663.75","61.47","0.62","482.38",,"1200.08","319.04","499.34",,"826.68","289.39",,"537.29","168.81","368.48",,,"368.48","353.45",,,,,"14.90",,,,,,,,,,,,,,,"27.10","76.70",,,,,,,,,
"Jun 07",,"1453.62","617.19","53.37","1.70","515.82",,"1083.64","283.88","490.50",,"783.68","307.12",,"476.56","155.33","321.23",,,"321.23","333.19",,,,,"13.10",,,,,,,,,,,,,,,"25.07","75.30",,,,,,,,,
"Mar 07",,"1295.25","600.96","93.15","0.40","394.43",,"872.05","215.33","468.60",,"828.21","330.28",,"497.93","154.36","343.57",,,"343.57","319.39",,,,,"13.10",,,,,,,,,,,,,,,"25.05","78.40",,,,,,,,,
"Dec 06",,"1137.29","584.83","35.88","1.31","373.30",,"830.68","213.84","391.18",,"696.91","266.39",,"430.52","134.88","295.64",,,"295.64","315.15",,,,,"12.80",,,,,,,,,,,,,,,"24.63","78.10",,,,,,,,,
"Sep 06",,"995.81","593.32","45.67","0.86","397.71",,"790.06","181.33","397.80",,"664.18","305.71",,"358.47","95.53","262.94",,,"262.94","314.37",,,,,"12.10",,,,,,,,,,,,,,,"24.55","78.10",,,,,,,,,
"Jun 06",,"905.80","519.51","78.24","0.74","350.79",,"686.66","166.36","386.36",,"615.70","263.87",,"351.83","112.53","239.30",,,"239.30","313.85",,,,,"11.70",,,,,,,,,,,,,,,"24.50","78.10",,,,,,,,,
"Mar 06",,"822.66","512.60","42.94","0.30","304.15",,"639.09","137.56","344.76",,"561.24","181.60",,"379.64","116.43","263.21",,,"263.21","313.14",,,,,"11.40",,,,,,,,,,,,,,,"24.43","78.00",,,,,,,,,
"Dec 05",,"731.05","418.24","30.13","0.39","296.13",,"509.20","125.00","324.12",,"517.62","197.15",,"320.47","96.07","224.40",,,"224.40","312.18",,,,,"10.30",,,,,,,,,,,,,,,"24.33","77.90",,,,,,,,,
"Sep 05",,"612.78","376.05","34.04","0.03","260.15",,"410.77","115.16","286.48",,"470.64","180.62",,"290.02","90.38","199.64",,,"199.64","311.93",,,,,"10.40",,,,,,,,,,,,,,,"24.31","77.90",,,,,,,,,
"Jun 05",,"533.71","324.77","35.44","0.21","263.55",,"370.44","109.10","248.91",,"429.23","165.85",,"263.38","79.85","183.53",,,"183.53","311.25",,,,,"11.90",,,,,,,,,,,,,,,"24.24","77.90",,,,,,,,,
"Mar 05",,"488.00","347.79","28.60","2.82","220.06",,"353.63","83.93","244.77",,"404.94","107.07",,"297.87","95.50","202.37",,,"202.37","309.88",,,,,"12.20",,,,,,,,,,,,,,,"24.10","77.80",,,,,,,,,
"Dec 04",,"433.58","325.84","17.36","2.25","200.52",,"339.04","72.50","206.12",,"361.89","113.08",,"248.81","77.88","170.93",,,"170.93","286.54",,,,,"9.40",,,,,,,,,,,,,,,"21.77","76.00",,,,,,,,,
"Sep 04",,"389.12","321.79","31.57","2.22","122.72",,"319.13","63.42","183.83",,"301.04","75.78",,"225.26","72.97","152.29",,,"152.29","286.23",,,,,"10.90",,,,,,,,,,,,,,,"21.74","75.90",,,,,,,,,
"Jun 04",,"353.00","310.94","36.50","2.11","108.04",,"303.76","56.82","174.01",,"276.00","69.00",,"207.00","67.03","139.97",,,"139.97","285.84",,,,,"11.00",,,,,,,,,,,,,,,"21.70","75.90",,,,,,,,,
"Mar 04",,"290.30","331.75","41.67","2.10","140.49",,"305.25","46.06","170.66",,"284.34","71.92",,"212.42","57.70","154.72",,,"154.72","284.79","2407.09",,,,"11.66",,,,,,,,,,,,,,,"21.59","75.82",,,,,,,,,
"Dec 03",,"300.71","330.89","24.83","1.87","121.09",,"303.98","59.47","149.65",,"266.29","83.11",,"183.18","52.82","130.36",,,"130.36","283.90",,,,,"10.74",,,,,,,,,,,,,,,"21.50","75.74",,,,,,,,,
"Sep 03",,"260.30","352.73","25.64","1.57","86.26",,"302.44","47.01","147.70",,"229.35","63.76",,"165.59","48.45","117.14",,,"117.14","283.48",,,,,"10.94",,,,,,,,,,,,,,,"21.46","75.71",,,,,,,,,
"Jun 03",,"257.24","306.85","18.82","1.55","132.73",,"299.38","51.55","141.99",,"224.27","66.50",,"157.77","50.49","107.28",,,"107.28","283.15",,,,,"11.79",,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 03",,"226.13","306.66","23.63","0.80","128.85",,"310.80","48.23","123.29",,"203.75","52.78",,"150.97","34.35","116.62",,,"116.62","282.05","1962.78",,,,"11.12",,,,,,,,,,,,,,,,"75.59",,,,,,,,,
"Dec 02",,,,,"504.86","141.42",,"300.02",,"158.13",,"188.13","36.06",,"152.07","53.19","98.88",,,"98.88","282.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 02",,,,,"481.73","121.51",,"290.47",,"142.00",,"170.77","36.40",,"134.37","44.68","89.69",,,"89.69","281.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 02",,,,,"479.16","81.32",,"290.67",,"120.18",,"149.63","34.62",,"115.01","32.60","82.41",,,"82.41","281.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 02",,"161.64","240.48","59.52","0.39","103.99",,"276.64","27.56","91.04",,"170.78","51.23",,"119.55","29.31","90.24",,,"90.24","281.37","1660.91",,,,"13.93",,,,,,,,,,,,,,,"21.25","75.53",,,,,,,,,
"Dec 01",,,,,"439.56","85.51",,"279.44",,"109.65",,"135.98","27.58",,"108.40","32.95","75.45",,,"75.45","281.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 01",,,,,"413.19","76.49",,"269.67",,"96.16",,"123.85","16.72",,"107.13","37.79","69.34",,,"69.34","281.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 01",,,,,"388.21","67.26",,"247.99",,"93.54",,"113.94","23.64",,"90.30","28.29","62.01",,,"62.01","243.60","669.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 01",,"141.77","180.23","40.76","0.06","57.06",,"218.37","23.35","57.95",,"120.21","22.87",,"97.34","31.80","65.54",,,"65.54","243.60","669.49",,,,"11.09",,,,,,,,,,,,,,,"17.47","71.73",,,,,,,,,
"Dec 00",,,,,"372.75",,,"197.99",,"76.79","18.34","79.63",,,"79.63","25.91","53.72",,,"53.72","243.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 00",,,,,"292.88","26.74",,"180.26",,"55.20","10.78","73.38",,,"73.38","24.21","49.17",,,"49.17","243.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 00",,,,,"322.74",,,"157.13",,"84.06","12.19","69.36",,,"69.36","23.01","46.35",,,"46.35","243.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 00",,,,,"255.98","45.08",,"123.27",,"102.77","8.02","67.00",,,"67.00","28.45","38.55",,,"38.55","243.28","508.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 99",,,,,,"34.80",,"91.00",,"48.85","7.94",,,,,"18.88",,,,"28.17","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 99",,,,,,"27.04",,"88.07",,"33.44","5.25",,,,,"16.10",,,,"28.00","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 99",,,,,,"18.43",,"71.94",,"24.57","5.25",,,,,"11.38",,,,"25.32","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 99",,,,,,"16.44",,"74.06",,"16.05","4.90",,"9.31",,,"5.77",,,,"22.04","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 98",,,,,,"15.39",,"63.29",,"19.70","3.11",,,,,"10.34",,,,"18.19","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 98",,,,,,"17.86",,"50.66",,"18.12","3.87",,,,,"9.60",,,,"21.99","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 98",,,,,,"18.38",,"41.16",,"19.92","3.15",,,,,"8.74",,,,"20.18","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 98",,,,,,"20.71",,"50.46",,"8.30","1.37",,"8.18",,,"10.04",,,,"15.25","200.00","85.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 97",,,,,,"12.51",,"30.49",,"13.01","2.80",,,,,"5.99",,,,"14.39","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 97",,,,,,"16.70",,"37.59",,"15.81","3.41",,,,,"7.12",,,,"17.42","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 97",,,,,,"12.09",,"27.94",,"14.92","3.11",,,,,"8.05",,,,"16.09","200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
